Month,PassengerCount
2024-08,34666
2024-07,36640
2024-06,33832
2024-05,33964
2024-04,33554
2024-03,31742
2024-02,30810
2024-01,32995
2023-12,34500
2023-11,32424
2023-10,33108
2023-09,31067
2023-08,30742
2023-07,32372
2023-06,29579
2023-05,29886
2023-04,27731
2023-03,29249
2023-02,25744
2023-01,28435
2022-12,29245
2022-11,26473
2022-10,27143
2022-09,25167
2022-08,23920
2022-07,25272
2022-06,23160
2022-05,23114
2022-04,19436
2022-03,19133
2022-02,12857
2022-01,17499
2021-12,17207
2021-11,15161
2021-10,13139
2021-09,9510
2021-08,6479
2021-07,5646
2021-06,14313
2021-05,14627
2021-04,14590
2021-03,13995
2021-02,11223
2021-01,11631
2020-12,13262
2020-11,13523
2020-10,11768
2020-09,11295
2020-08,12679
2020-07,12205
2020-06,9272
2020-05,5476
2020-04,5813
2020-03,22949
2020-02,31679
2020-01,33472
2019-12,36710
2019-11,35228
2019-10,35814
2019-09,34615
2019-08,34542
2019-07,38303
2019-06,34261
2019-05,34514
2019-04,35106
2019-03,35068
2019-02,31282
2019-01,34435
2018-12,37197
2018-11,34637
2018-10,35602
2018-09,33878
2018-08,34560
2018-07,36089
2018-06,32270
2018-05,34877
2018-04,35135
2018-03,35272
2018-02,30721
2018-01,34107
2017-12,36140
2017-11,33798
2017-10,34498
2017-09,31921
2017-08,33255
2017-07,33669
2017-06,30181
2017-05,33157
2017-04,30934
2017-03,31612
2017-02,26837
2017-01,30359
2016-12,31530
2016-11,29178
2016-10,29765
2016-09,29019
2016-08,29125
2016-07,28216
2016-06,28730
2016-05,30176
2016-04,28000
2016-03,28156
2016-02,26058
2016-01,27886
2015-12,29328
2015-11,27253
2015-10,28280
2015-09,27125
2015-08,27351
2015-07,27077
2015-06,27118
2015-05,27450
2015-04,26150
2015-03,26841
2015-02,22394
2015-01,24254
2014-12,25791
2014-11,23986
2014-10,24503
2014-09,23219
2014-08,22763
2014-07,22125
2014-06,23415
2014-05,22547
2014-04,21502
2014-03,22427
2014-02,19628
2014-01,20698
2013-12,20992
2013-11,19578
2013-10,20198
2013-09,19439
2013-08,19031
2013-07,19917
2013-06,16932
2013-05,15795
2013-04,15724
2013-03,15521
2013-02,14315
2013-01,14573
2012-12,15745
2012-11,15436
2012-10,16828
2012-09,16063
2012-08,16675
2012-07,17956
2012-06,17687
2012-05,17401
2012-04,16376
2012-03,16701
2012-02,15126
2012-01,15801
2011-12,16333
2011-11,15765
2011-10,16062
2011-09,16353
2011-08,14492
2011-07,17632
2011-06,16806
2011-05,17018
2011-04,16031
2011-03,16584
2011-02,14519
2011-01,16446
2010-12,17299
2010-11,16088
2010-10,16542
2010-09,16713
2010-08,16140
2010-07,17181
2010-06,16808
2010-05,16565
2010-04,16156
2010-03,16617
2010-02,14880
2010-01,17039
2009-12,17211
2009-11,16434
2009-10,17438
2009-09,16840
2009-08,17204
2009-07,17959
2009-06,17746
2009-05,17467
2009-04,16458
2009-03,16826
2009-02,13593
2009-01,14246
2008-12,15011
2008-11,15696
2008-10,16901
2008-09,15604
2008-08,16769
2008-07,17463
2008-06,16636
2008-05,16054
2008-04,15435
2008-03,15756
2008-02,14116
2008-01,14697
2007-12,14766
2007-11,14141
2007-10,15465
2007-09,14792
2007-08,15144
2007-07,16092
2007-06,14820
2007-05,14939
2007-04,14189
2007-03,13167
2007-02,10759
2007-01,13647
2006-12,13344
2006-11,13369
2006-10,13949
2006-09,13183
2006-08,12991
2006-07,14087
2006-06,12929
2006-05,13312
2006-04,12657
2006-03,13066
2006-02,11705
2006-01,11504
